sl_mult,tp_mult,threshold,min_rr,return_pct,sharpe,win_rate,profit_factor,max_dd,trades,sl_exits,tp_exits,avg_mae,avg_mfe,alpha,composite
3.0,4.5,60,2.0,4.6832315221280165,1.4056776112130638,40.0,1.224950005890539,4.829963020881458,65,38,26,2.3901019750398405,2.622317124684086,39.28853851558207,53.317743506221134
3.0,6.0,60,1.5,4.6832315221280165,1.4056776112130638,40.0,1.224950005890539,4.829963020881458,65,38,26,2.3901019750398405,2.622317124684086,39.28853851558207,53.317743506221134
3.0,5.0,60,2.0,4.6832315221280165,1.4056776112130638,40.0,1.224950005890539,4.829963020881458,65,38,26,2.3901019750398405,2.622317124684086,39.28853851558207,53.317743506221134
3.0,4.0,55,1.5,4.746564706410959,1.3313078164554957,49.382716049382715,1.1974619898273924,5.016510627703562,81,40,40,2.315675169596508,2.581799666619773,39.35187169986501,52.449053574787136
3.0,3.5,55,1.5,4.746564706410959,1.3313078164554957,49.382716049382715,1.1974619898273924,5.016510627703562,81,40,40,2.315675169596508,2.581799666619773,39.35187169986501,52.449053574787136
3.0,4.5,55,1.5,4.746564706410959,1.3313078164554957,49.382716049382715,1.1974619898273924,5.016510627703562,81,40,40,2.315675169596508,2.581799666619773,39.35187169986501,52.449053574787136
3.5,4.0,50,1.8,4.0122729184905666,1.2275095185151192,42.10526315789473,1.188831261211237,4.356851882550756,57,33,23,2.6212018350528776,3.138400509162383,38.61757991194462,51.909085029141984
3.5,6.0,50,1.8,4.0122729184905666,1.2275095185151192,42.10526315789473,1.188831261211237,4.356851882550756,57,33,23,2.6212018350528776,3.138400509162383,38.61757991194462,51.909085029141984
3.5,5.5,50,1.8,4.0122729184905666,1.2275095185151192,42.10526315789473,1.188831261211237,4.356851882550756,57,33,23,2.6212018350528776,3.138400509162383,38.61757991194462,51.909085029141984
3.5,4.5,50,1.8,4.0122729184905666,1.2275095185151192,42.10526315789473,1.188831261211237,4.356851882550756,57,33,23,2.6212018350528776,3.138400509162383,38.61757991194462,51.909085029141984
3.5,3.5,50,1.8,4.0122729184905666,1.2275095185151192,42.10526315789473,1.188831261211237,4.356851882550756,57,33,23,2.6212018350528776,3.138400509162383,38.61757991194462,51.909085029141984
3.5,5.0,50,1.8,4.0122729184905666,1.2275095185151192,42.10526315789473,1.188831261211237,4.356851882550756,57,33,23,2.6212018350528776,3.138400509162383,38.61757991194462,51.909085029141984
3.5,6.0,60,1.5,3.708520516599742,1.2526677089028748,42.592592592592595,1.1909148549375674,5.780276904162962,54,30,23,2.6766668114091816,2.9273375459135735,38.31382751005379,51.66078791466926
3.5,4.0,50,1.5,4.692000805330622,1.217826138346685,45.07042253521127,1.1763738288184584,4.793507396942383,71,38,32,2.730072441054312,2.94159287051768,39.29730779878467,51.55388899524351
3.5,4.5,50,1.5,4.692000805330622,1.217826138346685,45.07042253521127,1.1763738288184584,4.793507396942383,71,38,32,2.730072441054312,2.94159287051768,39.29730779878467,51.55388899524351
3.5,3.5,50,1.5,4.692000805330622,1.217826138346685,45.07042253521127,1.1763738288184584,4.793507396942383,71,38,32,2.730072441054312,2.94159287051768,39.29730779878467,51.55388899524351
3.5,5.0,50,1.5,4.692000805330622,1.217826138346685,45.07042253521127,1.1763738288184584,4.793507396942383,71,38,32,2.730072441054312,2.94159287051768,39.29730779878467,51.55388899524351
3.2,6.0,55,1.5,3.7622599482247323,1.1881664629049042,40.67796610169492,1.1801492037137897,4.568988828926399,59,34,24,2.684325260313428,3.027692023145021,38.36756694167878,51.49362484493537
